Time,FLrpm,FRrpm,RLrpm,RRrpm,FL,FR,RL,RR,Ax,Ay,Az,RollR,PitchR,YawR
0,0,0,0,0,0,0,0,0,-0.090000004,-0.029999999,-0.039999999,0,0,0
0.01,0,0,0,0,1984,2119,1977,1936,-0.090000004,-0.029999999,-0.039999999,0,0,0
0.02,0,0,0,0,1984,2119,1978,1936,-0.029999999,-0.050000001,0.02,0,0,0
0.03,0,0,0,0,1984,2119,1977,1936,0.07,-0.01,0.170000002,0,0,0
0.04,0,0,0,0,1983,2119,1977,1936,0,0.07,0.050000001,0,0,0
0.05,0,0,0,0,1984,2119,1977,1936,-0.01,0.039999999,-0.119999997,0.01,0,0
0.06,0,0,0,0,1984,2120,1977,1936,-0.059999999,0,-0.150000006,0,0,0
0.07,0,0,0,0,1984,2120,1977,1936,-0.050000001,0,-0.02,0,0,0
0.08,0,0,0,0,1983,2119,1978,1936,0.029999999,-0.02,0.230000004,0,0,0
0.09,0,0,0,0,1984,2119,1978,1936,0.090000004,0.090000004,0.02,0,0,0
0.1,0,0,0,0,1984,2119,1978,1936,-0.039999999,0.029999999,-0.050000001,0,0,0
0.11,0,0,0,0,1983,2120,1977,1936,-0.029999999,-0.029999999,-0.209999993,0,0,0
0.12,0,0,0,0,1984,2119,1977,1936,-0.079999998,-0.039999999,0.029999999,0,0,0
0.13,0,0,0,0,1984,2119,1977,1936,0.02,-0.029999999,0.140000001,0,0,0
0.14,0,0,0,0,1984,2119,1977,1936,0.029999999,0.029999999,0.150000006,0,0,0
0.15,0,0,0,0,1984,2119,1977,1936,0.039999999,0.01,-0.07,0,0,0
0.16,0,0,0,0,1984,2119,1977,1936,-0.039999999,-0.109999999,-0.059999999,0,0,0
0.17,0,0,0,0,1984,2119,1978,1936,-0.039999999,-0.109999999,-0.059999999,0,0,0
0.18,0,0,0,0,1984,2119,1977,1936,0.029999999,-0.01,0.07,0,0,0
0.19,0,0,0,0,1984,2119,1978,1936,0.029999999,-0.02,0.159999996,0,0,0
0.2,0,0,0,0,1984,2119,1978,1936,0.039999999,0.039999999,0.059999999,0,0,0
0.21,0,0,0,0,1984,2119,1977,1936,-0.059999999,0.039999999,-0.100000002,0,0,0
0.22,0,0,0,0,1984,2119,1977,1936,-0.050000001,-0.059999999,-0.140000001,0,0,0
0.23,0,0,0,0,1984,2119,1978,1936,-0.02,0.02,0.090000004,0,0,0
0.24,0,0,0,0,1984,2119,1978,1936,0.050000001,0.01,0.119999997,0,0,0
0.25,0,0,0,0,1983,2119,1977,1936,0.050000001,0.079999998,0.129999995,0,0,0
0.26,0,0,0,0,1984,2119,1977,1936,0.01,0.039999999,-0.200000003,0,0,0
0.27,0,0,0,0,1984,2119,1978,1936,-0.100000002,0,-0.200000003,0,0,0
0.28,0,0,0,0,1984,2119,1977,1936,-0.039999999,-0.07,0,0,0,0
0.29,0,0,0,0,1984,2119,1978,1936,0.039999999,0.01,0.150000006,0,0,0
0.3,0,0,0,0,1984,2119,1977,1936,0.07,0.02,0.150000006,0,0,0
0.31,0,0,0,0,1984,2120,1977,1936,0.050000001,-0.01,-0.02,0,0,0
0.32,0,0,0,0,1984,2119,1977,1936,-0.039999999,0,-0.140000001,0,0,0
0.33,0,0,0,0,1984,2119,1978,1936,-0.039999999,-0.090000004,-0.02,0,0,0
0.34,0,0,0,0,1984,2119,1978,1936,0,-0.01,0.180000007,-0.01,0,0
0.35,0,0,0,0,1984,2119,1978,1936,0.050000001,0.02,0.119999997,0,0,0
0.36,0,0,0,0,1984,2119,1978,1936,0.079999998,0.039999999,0.059999999,0,0,0
0.37,0,0,0,0,1984,2119,1977,1936,-0.059999999,0.029999999,-0.189999998,0,0,0
0.38,0,0,0,0,1984,2119,1977,1936,-0.07,-0.050000001,-0.090000004,0,0,0
0.39,0,0,0,0,1984,2119,1977,1936,0.02,-0.039999999,0.140000001,0,0,0
